txId,status,ok,req_start,resp_end,e2e_s,db_ts
0e09f382-0854-4e4e-b7af-4dd3f9a295a7,202,True,1758679269.7611742,1758679269.7717698,41.02116417884827,2025-09-24 02:01:09.769991+00:00
336d9825-a7d3-4fc9-9632-275daee5fc2b,202,True,1758679269.7617855,1758679269.7719395,41.02055287361145,2025-09-24 02:01:09.769991+00:00
9117ab61-bd80-4a36-baf7-6cf316450c17,202,True,1758679270.7507863,1758679270.758471,40.03155207633972,2025-09-24 02:01:10.755975+00:00
3d162d3e-515b-42f6-a643-d28135d34a0f,202,True,1758679270.7519226,1758679270.7591038,40.030415773391724,2025-09-24 02:01:10.756890+00:00
447918bc-c7e2-4fa8-9ad2-0a1d33752874,202,True,1758679270.7537174,1758679270.7608998,40.02862095832825,2025-09-24 02:01:10.757971+00:00
bde71dc7-3ef9-4fc7-9504-430bbf06f2bb,202,True,1758679270.7549684,1758679270.7617822,40.0273699760437,2025-09-24 02:01:10.759580+00:00
f8afee24-fba0-45a0-bb96-68383a1ed2dc,202,True,1758679270.7547066,1758679270.7618263,40.027631759643555,2025-09-24 02:01:10.759580+00:00
fc51a07b-b050-43b6-855a-20e6b36ad14c,202,True,1758679270.753238,1758679270.7628062,40.02910041809082,2025-09-24 02:01:10.760664+00:00
92bbd58f-4145-4f7f-a1c9-9bf35f5be942,202,True,1758679270.755271,1758679270.763139,40.02706742286682,2025-09-24 02:01:10.760664+00:00
73a4f6ef-1c15-4436-a0e2-e02ff4815eed,202,True,1758679270.7526853,1758679270.7638428,40.02965307235718,2025-09-24 02:01:10.762650+00:00
4f2aaa0b-366d-4473-9b95-dd83190c0bf8,202,True,1758679270.754417,1758679270.7640338,40.02792143821716,2025-09-24 02:01:10.762650+00:00
0e31c6cf-2002-45e8-ab85-234bf43324c2,202,True,1758679270.754077,1758679270.7643144,40.02826142311096,2025-09-24 02:01:10.763656+00:00
f1f830d3-c59b-4056-ad15-08cf9be4d2c3,202,True,1758679271.758568,1758679271.766103,39.023770332336426,2025-09-24 02:01:11.763052+00:00
d31092ab-eddb-4173-9c1a-8223769c6984,202,True,1758679271.759404,1758679271.7667363,39.022934436798096,2025-09-24 02:01:11.764055+00:00
2c2d4a1a-c224-4ab0-bdc8-7b203f1dc217,202,True,1758679271.7605472,1758679271.7676015,39.021791219711304,2025-09-24 02:01:11.765050+00:00
020d9ef9-9cb3-4aa0-b097-9a3dc1196473,202,True,1758679271.7614481,1758679271.768758,39.02089023590088,2025-09-24 02:01:11.767223+00:00
ef8e5710-a156-4423-bb5e-a32ba089282b,202,True,1758679271.761991,1758679271.7690115,39.020347356796265,2025-09-24 02:01:11.767223+00:00
cd8eb748-c289-4b4b-bf97-0815c4fe998e,202,True,1758679271.7598803,1758679271.769761,39.02245807647705,2025-09-24 02:01:11.767223+00:00
21a5c36f-8f65-4fd9-8a23-5d4ed634390b,202,True,1758679271.761717,1758679271.7700083,39.02062129974365,2025-09-24 02:01:11.768223+00:00
